Dark Night of the Wise,Increased Maximum FP,FP Restoration upon Successive Attacks,Max FP permanently increased after releasing Sorcerer's Rise mechanism
Grand Drizzly Scene,{Wylder] Art activation spreads fire in area,Changes compatible armament's skill to Flaming Strike at start of expedition,Fire Attack Power Up +2
Dark Night of the Baron,Improved Critical Hits +1,Improved Critical Hits,Critical Hits Earn Runes
Grand Tranquil Scene,Critical Hit Boosts Stamina Recovery Speed,Defeating enemies fills more of the Art gauge,Magic Attack Power Up +2
Grand Tranquil Scene,{Duchess] Become difficult to spot and silence footsteps after landing critical from behind,Changes compatible armament’s skill to Quickstep at start of expedition,Magic Damage Negation Up
Grand Tranquil Scene,Max FP Up with 3+ Sacred Seals Equipped,Stamina recovers with each successful attack,Fire Grease in possession at start of expedition
Polished Drizzly Scene,Dexterity +3,Arcane +1,
Polished Burning Scene,{Recluse} Suffer blood loss and increase attack power upon Art activation,Improved Bow Attack Power,
Grand Drizzly Scene,Changes compatible armament’s skill to Hoarfrost Stomp at start of expedition,Ultimate Art Gauge +1,Physical Attack Up
Polished Luminous Scene,Increased rune acquisition for self and allies,Changes compatible armament’s skill to Poison Moth Flight at start of expedition,
Polished Drizzly Scene,Defeating enemies restores HP for allies but not for self,Improved Rot Resistance,
Grand Luminous Scene,Improved Frenzied Flame Incantations,Glintstone Scraps in possession at start of expedition,Lightning Attack Power Up +1
Polished Tranquil Scene,Draw enemy attention while guarding,Holy Damage Negation Up,
Polished Drizzly Scene,Changes compatible armament’s skill to Endure at start of expedition,Magic Attack Power Up +1,
Grand Drizzly Scene,{Duchess] Dagger chain attack reprises event upon nearby enemies,Improved Thorn Sorcery,Starting armament deals holy damage
Polished Burning Scene,Starting armament deals fire damage,Holy Attack Power Up +2,
Grand Luminous Scene,Max FP permanently increased after releasing Sorcerer's Rise mechanism,Changes compatible armament’s skill to Endure at start of expedition,Poise +2
Polished Burning Scene,"{Executor] While Character Skill is active, unlocking use of cursed sword restores HP",Changes compatible armament's skill to Storm Stomp at start of expedition,
Polished Drizzly Scene,Defeating enemies near Totem Stela restores HP,Improved Carian Sword Sorcery,
Grand Tranquil Scene,Max HP Up with 3+ Medium Shields Equipped,Partial HP Restoration upon Post-Damage Attacks,Magic Grease in possession at start of expedition
Grand Tranquil Scene,Improved Flail Attack Power,"HP restored when using cured meats, medicinal boluses, etc.",Starlight Shards in possession at start of expedition
Polished Burning Scene,Strength +2,Arcane +3,
Polished Tranquil Scene,Improved Attack Power with 3+ Reapers Equipped,Changes compatible armament’s skill to Seppuku at start of expedition,
Grand Tranquil Scene,{Recluse} Suffer blood loss and increase attack power upon Art activation,Dexterity +3,Faith +3
Grand Tranquil Scene,{Guardian] Increased duration for Character Skill,FP Restoration upon Thrusting Sword Attacks,Small Pouch in possession at start of expedition
Grand Drizzly Scene,{Duchess] Become difficult to spot and silence footsteps after landing critical from behind,Improved Critical Hits,Improved Madness Resistance
Polished Tranquil Scene,HP Recovery From Successful Guarding,Items confer effect to all nearby allies,
Polished Burning Scene,{Revenant] Trigger ghostflame explosion during Ultimate Art activation,Improved Frenzied Flame Incantations,
Grand Drizzly Scene,HP Restoration upon Whip Attacks,Bewitching Branches in possession at start of expedition,Vigor +2
Grand Burning Scene,Increased rune acquisition for self and allies,Arcane +3,Character Skill Cooldown Reduction +3
Grand Tranquil Scene,Improved Throwing Stone Damage,Holy Water Pots in possession at start of expedition,Holy Attack Power Up +1
Polished Tranquil Scene,{Recluse} Suffer blood loss and increase attack power upon Art activation,Changes compatible armament's skill to Gravitas at start of expedition,
Polished Luminous Scene,{Wylder] Art gauge greatly filled when ability is activated,Changes compatible armament’s skill to Endure at start of expedition,
Grand Burning Scene,Changes compatible armament's skill to Blood Blade at start of expedition,Dexterity +2,Poise +1
Polished Burning Scene,{Wylder] Follow-up attacks possible when using Character Skill (greatsword only),Arcane +1,
Polished Burning Scene,Improved Fundamentalist Incantations,Physical Attack Up +1,
Grand Tranquil Scene,FP Restoration upon Twinblade Attacks,Improved Roar & Breath Attacks,Magic Pots in possession at start of expedition
Grand Drizzly Scene,{Recluse} Suffer blood loss and increase attack power upon Art activation,Items confer effect to all nearby allies,Poisonbone Darts in possession at start of expedition
Grand Tranquil Scene,Changes compatible armament's skill to Lightning Slash at start of expedition,Strength +3,Physical Attack Up +2
Grand Burning Scene,Art gauge charged from successful guarding,Improved Frenzied Flame Incantations,Physical Attack Up
Polished Luminous Scene,Changes compatible armament’s skill to Thunderbolt at start of expedition,Magic Attack Power Up +1,
Polished Luminous Scene,Starting armament inflicts poison,Lightning Pots in possession at start of expedition,
Grand Tranquil Scene,{Raider] Damage taken while using Character Skill improves attack power and stamina,Mind +3,Magic Damage Negation Up
Grand Burning Scene,{Guardian] Slowly restores nearby allies’ HP while Art is active,Gravity Stone Chunks in possession at start of expedition,Magic Attack Power Up
Grand Burning Scene,{Revenant] Power up while fighting alongside family,Improved Guard Counters,Improved Poison Resistance
Polished Tranquil Scene,Intelligence +3,Magic Attack Power Up,
Grand Tranquil Scene,Faith +3,Holy Attack Power Up +2,Improved Madness Resistance
Polished Drizzly Scene,{Executor] Character Skill Boosts Attack but Attacking Drains HP,Improved Dragon Communion Incantations,
Polished Luminous Scene,{Revenant] Strengthens family and allies when Ultimate Art is activated,Improved Attack Power with 3+ Heavy Thrusting Swords Equipped,
Grand Luminous Scene,{Guardian] Slowly restores nearby allies’ HP while Art is active,Changes compatible armament’s skill to Thunderbolt at start of expedition,Physical Attack Up +1
Polished Burning Scene,Fire Pots in possession at start of expedition,Physical Attack Up,
Grand Burning Scene,Attack power up after defeating a Night Invader,Critical Hits Earn Runes,Mind +2
Polished Luminous Scene,{Duchess] Defeating enemies while Art is active ups attack power,Taking attacks improves attack power,
Grand Tranquil Scene,{Raider] Duration of Ultimate Art extended,FP Restoration upon Dagger Attacks,Art gauge fills moderately upon critical hit
Grand Luminous Scene,{Revenant] Expend own HP to fully heal nearby allies when activating Art,Improved Crystalian sorcery,Stamina recovers with each successful attack
Polished Burning Scene,FP Restoration upon Curved Greatsword Attacks,Intelligence +3,
Grand Tranquil Scene,{Ironeye] Boosts thrusting counterattacks after executing Art,Improved Petfuming Arts,Fire Attack Power Up +1
Polished Luminous Scene,{Duchess] Become difficult to spot and silence footsteps after landing critical from behind,Critical Hits Earn Runes,
Polished Tranquil Scene,{Ironeye] Art Charge Activation Adds Poison Effect,Attack power up after defeating a Night Invader,
Grand Tranquil Scene,Improved Dragon Communion Incantations,Ultimate Art Gauge +3,Holy Damage Negation Up
Polished Tranquil Scene,{Raider] Duration of Ultimate Art extended,Improved Roar & Breath Attacks,
Grand Drizzly Scene,Partial HP Restoration upon Post-Damage Attacks,Lightning Pots in possession at start of expedition,Magic Attack Power Up
Polished Tranquil Scene,Slowly restore HP for self and nearby allies when HP is low,Improved Gravity Sorcery,
Polished Luminous Scene,Changes compatible armament's skill to Gravitas at start of expedition,Endurance +1,
Grand Tranquil Scene,Max FP Up with 3+ Staves Equipped,Max FP permanently increased after releasing Sorcerer's Rise mechanism,Magic Attack Power Up
Grand Drizzly Scene,{Revenant] Strengthens family and allies when Ultimate Art is activated,Improved Godslayer Incantations,Mind +3
Grand Tranquil Scene,{Guardian] Creates whirlwind when charging halberd attacks,Improved Damage Negation at Low HP,Arcane +1
Polished Luminous Scene,Improved Petfuming Arts,Mind +3,
Grand Drizzly Scene,{Revenant] Expend own HP to fully heal nearby allies when activating Art,Improved Attack Power with 3+ Bows Equipped,Character Skill Cooldown Reduction +2
Polished Drizzly Scene,Improved Throwing Pot Damage,Lightning Attack Power Up +2,
Polished Tranquil Scene,Small Pouch in possession at start of expedition,Faith +3,
Grand Luminous Scene,{Duchess] Dagger chain attack reprises event upon nearby enemies,Slowly restore HP for self and nearby allies when HP is low,Improved Giants’ Flame Incantations
Grand Tranquil Scene,{Ironeye] +1 additional Character Skill use,Physical Attack Up +1,Holy Damage Negation Up
Polished Burning Scene,Attack power up after defeating a Night Invader,Stonesword Key in possession at start of expedition,
Polished Tranquil Scene,Changes compatible armament's skill to Prayerful Strike at start of expedition,Fire Attack Power Up +2,
Grand Tranquil Scene,{Revenant] Strengthens family and allies when Ultimate Art is activated,HP Restoration upon Halberd Attacks,Fire Attack Power Up
Polished Tranquil Scene,"{Executor] While Character Skill is active, unlocking use of cursed sword restores HP",Draw enemy attention while guarding,
Polished Tranquil Scene,Defeating enemies near Totem Stela restores HP,Improved Madness Resistance,
Grand Tranquil Scene,{Wylder] Follow-up attacks possible when using Character Skill (greatsword only),Poise +1,Improved Poison Resistance
Polished Tranquil Scene,Gravity Stone Chunks in possession at start of expedition,Fire Damage Negation Up,
Grand Tranquil Scene,{Executor] Character Skill Boosts Attack but Attacking Drains HP,Improved Flail Attack Power,Small Pouch in possession at start of expedition
Polished Luminous Scene,Character Skill Cooldown Reduction +2,Poise +2,
Polished Burning Scene,Max HP Up with 34 Small Shields Equipped,Attack power permanently increased for each evergaol prisoner defeated,
Grand Tranquil Scene,Improved Damage Negation at Low HP,Improved Initial Standard Attack,Intelligence +2
Grand Tranquil Scene,{Ironeye] Boosts thrusting counterattacks after executing Art,Improved Carian Sword Sorcery,Improved Poise & Damage Negation When Knocked Back by Damage
Polished Tranquil Scene,{Revenant] Expend own HP to fully heal nearby allies when activating Art,Ultimate Art Gauge +2,
Grand Tranquil Scene,{Duchess] Become difficult to spot and silence footsteps after landing critical from behind,Stamina recovers with each successful attack,Fire Damage Negation Up
Polished Burning Scene,Improved Stance-Breaking when Two-Handing,Vigor +1,
Polished Tranquil Scene,{Recluse} Activating Ultimate Art raises Max HP,Improved Blood Loss Resistance,
Grand Drizzly Scene,{Raider] Damage taken while using Character Skill improves attack power and stamina,"HP restored when using cured meats, medicinal boluses, etc.",Starting armament deals fire damage
Grand Tranquil Scene,{Ironeye] +1 additional Character Skill use,Strength +1,Magic Damage Negation Up
Polished Burning Scene,{Raider] Duration of Ultimate Art extended,Arcane +3,
Grand Drizzly Scene,Stamina recovers with each successful attack,Starting armament deals magic damage,Lightning Attack Power Up +2
Polished Tranquil Scene,Critical Hit Boosts Stamina Recovery Speed,Fire Damage Negation Up,
Polished Drizzly Scene,"Raised stamina recovery for nearby allies, but not for self",Changes compatible armament’s skill to Quickstep at start of expedition,
Grand Tranquil Scene,{Duchess] Become difficult to spot and silence footsteps after landing critical from behind,HP Recovery From Successful Guarding,Lightning Attack Power Up +2
Polished Drizzly Scene,Defeating enemies near Totem Stela restores HP,Items confer effect to all nearby allies,
Grand Luminous Scene,Small Pouch in possession at start of expedition,Character Skill Cooldown Reduction +2,Physical Attack Up +2
Polished Luminous Scene,{Revenant] Trigger ghostflame explosion during Ultimate Art activation,Mind +2,
Polished Burning Scene,Improved Attack Power with 3+ Colossal Swords Equipped,Faith +2,
Grand Tranquil Scene,Magic Pots in possession at start of expedition,Vigor +1,Ultimate Art Gauge +1
Grand Burning Scene,Improved Attack Power with 3+ Greatswords Equipped,HP Restoration upon Curved Greatsword Attacks,Mind +2
Polished Tranquil Scene,Improved Gravity Sorcery,Holy Attack Power Up +2,
Grand Burning Scene,HP Restoration upon Halberd Attacks,Changes compatible armament's skill to Flaming Strike at start of expedition,Magic Attack Power Up +1
Polished Burning Scene,{Duchess] Become difficult to spot and silence footsteps after landing critical from behind,Attack power up when facing scarlet rot-afflicted enemy,
Polished Drizzly Scene,{Ironeye] Boosts thrusting counterattacks after executing Art,Stamina recovers with each successful attack,
Grand Tranquil Scene,Critical Hits Earn Runes,Intelligence +3,Improved Rot Resistance
Grand Tranquil Scene,Partial HP Restoration upon Post-Damage Attacks,Lightning Pots in possession at start of expedition,Changes compatible armament’s skill to Thunderbolt at start of expedition
Grand Burning Scene,HP Restoration upon Colossal Sword Attacks,Attack power up when facing poison-afflicted enemy,Improved Frost Resistance
Grand Tranquil Scene,Improved Stonedigger Sorcery,Gravity Stone Chunks in possession at start of expedition,Dexterity +3
Polished Burning Scene,Improved Attack Power with 34+ Curved Swords Equipped,Intelligence +1,
Grand Luminous Scene,{Revenant] Power up while fighting alongside family,Poisonbone Darts in possession at start of expedition,Changes compatible armament’s skill to Endure at start of expedition
Polished Tranquil Scene,Improved Stance-Breaking when Wielding Two Armaments,Improved Frost Resistance,
Polished Tranquil Scene,Improved Attack Power with 3+ Axes Equipped,HP Restoration upon Claw Attacks,
Polished Tranquil Scene,Improved Great Spear Attack Power,Ultimate Art Gauge +3,
Polished Tranquil Scene,FP Restoration upon Fist Attacks,Dexterity +1,
Grand Burning Scene,{Wylder] Follow-up attacks possible when using Character Skill (greatsword only),Improved Fundamentalist Incantations,Fire Attack Power Up +2
Grand Burning Scene,Attack power permanently increased for each evergaol prisoner defeated,Character Skill Cooldown Reduction +2,Improved Frost Resistance
Grand Luminous Scene,"HP restored when using cured meats, medicinal boluses, etc.",Mind +1,Poise +1
Polished Burning Scene,{Duchess] Improved Character Skill Attack Power,HP Restoration upon Thrusting Counterattack,
Polished Burning Scene,Endurance +1,Arcane +1,
Grand Luminous Scene,{Guardian] Slowly restores nearby allies’ HP while Art is active,Bewitching Branches in possession at start of expedition,Changes compatible armament’s skill to Seppuku at start of expedition
Polished Luminous Scene,Guard countet is given a boost based on current HP,Strength +1,
Polished Luminous Scene,Improved Stance-Breaking when Wielding Two Armaments,Dexterity +1,
Grand Luminous Scene,Strength +2,Magic Attack Power Up +2,Fire Damage Negation Up
Polished Drizzly Scene,{Guardian] Reflect a portion of damage received when ability is activated,Ultimate Art Gauge +1,
Polished Tranquil Scene,Vigor +3,Dexterity +1,
Grand Drizzly Scene,Improved Attack Power with 3+ Colossal Swords Equipped,Mind +3,Intelligence +1
Grand Burning Scene,HP Restoration upon Colossal Weapon Attacks,Improved Godslayer Incantations,Poise +3
Polished Luminous Scene,Character Skill Cooldown Reduction +2,Magic Attack Power Up +2,
Polished Burning Scene,Starting armament deals lightning damage,Changes compatible armament’s skill to Quickstep at start of expedition,
Grand Burning Scene,"{Executor] While Character Skill is active, unlocking use of cursed sword restores HP",Holy Attack Power Up +2,Lightning Damage Negation Up
Polished Tranquil Scene,{Revenant] Power up while fighting alongside family,Improved Poison Resistance,
Grand Drizzly Scene,{Revenant] Expend own HP to fully heal nearby allies when activating Art,Improved Throwing Knife Damage,Vigor +2
Polished Burning Scene,{Raider] Damage taken while using Character Skill improves attack power and stamina,Fire Pots in possession at start of expedition,
Polished Drizzly Scene,Magic Pots in possession at start of expedition,Ultimate Art Gauge +3,
Grand Tranquil Scene,Changes compatible armament’s skill to Seppuku at start of expedition,Faith +2,Magic Attack Power Up +1
Polished Burning Scene,Max HP Up with 34 Small Shields Equipped,Mind +1,
Polished Luminous Scene,Changes compatible armament's skill to Blood Blade at start of expedition,Dexterity +3,
Polished Luminous Scene,Fire Pots in possession at start of expedition,Faith +2,
Grand Tranquil Scene,{Wylder] +1 additional Character Skill use,Mind +3,Lightning Attack Power Up +1
Polished Tranquil Scene,{Revenant] Power up while fighting alongside family,Crystal Darts in possession at start of expedition,
Polished Tranquil Scene,Improved Thorn Sorcery,Holy Attack Power Up +2,
Polished Burning Scene,HP Restoration upon Halberd Attacks,Fire Attack Power Up,
Grand Tranquil Scene,{Guardian] Reflect a portion of damage received when ability is activated,Vigor +2,Holy Attack Power Up
Grand Drizzly Scene,{Ironeye] Boosts thrusting counterattacks after executing Art,Starting armament inflicts poison,Character Skill Cooldown Reduction +2
Polished Drizzly Scene,Improved Poise & Damage Negation When Knocked Back by Damage,Magic Attack Power Up,
Grand Drizzly Scene,Ultimate Art Gauge +3,Physical Attack Up +1,Improved Rot Resistance
Polished Drizzly Scene,Items confer effect to all nearby allies,Physical Attack Up +1,
Polished Tranquil Scene,Faith +2,Fire Attack Power Up +1,
Grand Tranquil Scene,Holy Water Pots in possession at start of expedition,Holy Attack Power Up +2,Magic Damage Negation Up
Polished Tranquil Scene,Defeating enemies near Totem Stela restores HP,Increased rune acquisition for self and allies,
Grand Tranquil Scene,{Raider] Damage taken while using Character Skill improves attack power and stamina,FP Restoration upon Colossal Weapon Attacks,Physical Attack Up +2
Polished Tranquil Scene,Draw enemy attention while guarding,Poise +2,
Polished Burning Scene,Improved Thrusting Sword Attack Power,Starting armament deals lightning damage,
Grand Tranquil Scene,{Duchess] Become difficult to spot and silence footsteps after landing critical from behind,Strength +3,Physical Attack Up +2
Polished Tranquil Scene,Improved Attack Power with 3+ Straight Swords Equipped,Character Skill Cooldown Reduction +3,
Polished Drizzly Scene,Improved Stance-Breaking when Two-Handing,Starting armament deals holy damage,
Polished Tranquil Scene,Stonesword Key in possession at start of expedition,Vigor +2,
Grand Burning Scene,{Wylder] Follow-up attacks possible when using Character Skill (greatsword only),Defeating enemies restores HP for allies but not for self,Changes compatible armament’s skill to Rain of Arrows at start of expedition
Polished Drizzly Scene,FP Restoration upon Heavy Thrusting Sword Attacks,Holy Grease in possession at start of expedition,
Polished Tranquil Scene,{Revenant] Trigger ghostflame explosion during Ultimate Art activation,Holy Attack Power Up,
Polished Luminous Scene,Improved Dragon Cult Incantations,Changes compatible armament's skill to Rain of Arrows at start of expedition,
Grand Tranquil Scene,{Recluse} Suffer blood loss and increase attack power upon Art activation,Improved Godslayer Incantations,Items confer effect to all nearby allies
Grand Luminous Scene,Draw enemy attention while guarding,Changes compatible armament's skill to Sacred Blade at start of expedition,Critical Hits Earn Runes
Grand Tranquil Scene,Improved Attack Power with 3+ Spears Equipped,Vigor +2,Intelligence +3
Polished Luminous Scene,{Executor] Character Skill Boosts Attack but Attacking Drains HP,Intelligence +2,
Grand Tranquil Scene,{Ironeye] Art Charge Activation Adds Poison Effect,Max FP permanently increased after releasing Sorcerer's Rise mechanism,Ultimate Art Gauge +2
Polished Drizzly Scene,Improved Roar & Breath Attacks,Strength +3,
Polished Burning Scene,{Wylder] Follow-up attacks possible when using Character Skill (greatsword only),Improved Attack Power with 3+ Curved Greatswords Equipped,
Grand Tranquil Scene,Improved Stance-Breaking when Wielding Two Armaments,Lightning Grease in possession at start of expedition,Faith +2
Grand Drizzly Scene,Changes compatible armament’s skill to Storm Stomp at start of expedition,Guard counter is given a boost based on current HP,Fire Damage Negation Up
Polished Burning Scene,Starting armament deals magic damage,Mind +2,
Grand Tranquil Scene,{Revenant] Power up while fighting alongside family,Art gauge fills moderately upon critical hit,Intelligence +3
Polished Tranquil Scene,{Guardian] Creates whirlwind when charging halberd attacks,Fire Attack Power Up +2,
Polished Tranquil Scene,Attack power permanently increased for each evergaol prisoner defeated,Holy Damage Negation Up,
Grand Tranquil Scene,Slowly restore HP for self and nearby allies when HP is low,Endurance +1,Physical Attack Up +2
Grand Drizzly Scene,{Duchess] Become difficult to spot and silence footsteps after landing critical from behind,HP Recovery From Successful Guarding,Poise +3
Polished Burning Scene,Improved Thorn Sorcery,Increased rune acquisition for self and allies,
Polished Tranquil Scene,{Executor] Character Skill Boosts Attack but Attacking Drains HP,Holy Attack Power Up +2,
Grand Luminous Scene,Attack power permanently increased for each evergaol prisoner defeated,Treasure marked upon map,Stonesword Key in possession at start of expedition
Grand Tranquil Scene,{Wylder] Follow-up attacks possible when using Character Skill (greatsword only),Max FP permanently increased after releasing Sorcerer's Rise mechanism,Magic Attack Power Up
Grand Tranquil Scene,Changes compatible armament’s skill to Storm Stomp at start of expedition,Character Skill Cooldown Reduction +2,Improved Poison Resistance
Polished Luminous Scene,Improved Throwing Knife Damage,Mind +1,
Grand Burning Scene,{Guardian] Increased duration for Character Skill,Magic Pots in possession at start of expedition,Intelligence +2
Polished Tranquil Scene,Improved Halberd Attack Power,Dexterity +2,
Polished Tranquil Scene,Max HP Up with 34 Small Shields Equipped,Improved Godslayer Incantations,
Grand Burning Scene,{Ironeye] Art Charge Activation Adds Poison Effect,Attack power up when facing poison-afflicted enemy,Ultimate Art Gauge +3
Grand Burning Scene,{Wylder] Follow-up attacks possible when using Character Skill (greatsword only),Character Skill Cooldown Reduction +2,Magic Attack Power Up +2
Grand Tranquil Scene,HP Restoration upon Fist Attacks,Improved Carian Sword Sorcery,Items confer effect to all nearby allies
Grand Tranquil Scene,{Wylder] Follow-up attacks possible when using Character Skill (greatsword only),Starting armament inflicts frost,Poisonbone Darts in possession at start of expedition
Grand Tranquil Scene,{Guardian] Increased duration for Character Skill,FP Restoration upon Claw Attacks,Rune discount for shop purchases while on expedition
Polished Luminous Scene,HP Restoration upon Twinblade Attacks,Changes compatible armament’s skill to Thunderbolt at start of expedition,
Polished Tranquil Scene,Lightning Pots in possession at start of expedition,Faith +1,
Grand Tranquil Scene,FP Restoration upon Great Spear Attacks,Improved Fundamentalist Incantations,Magic Grease in possession at start of expedition
Polished Luminous Scene,Character Skill Cooldown Reduction +1,Poise +1,
Polished Burning Scene,Physical Attack Up,Improved Blood Loss Resistance,
Polished Tranquil Scene,Critical Hit Boosts Stamina Recovery Speed,Mind +1,
Grand Luminous Scene,Max FP Up with 3+ Sacred Seals Equipped,Improved Petfuming Arts,Magic Pots in possession at start of expedition
Polished Burning Scene,Improved Heavy Thrusting Sword Attack Power,Changes compatible armament’s skill to Glintblade Phalanx at start of expedition,
Polished Tranquil Scene,Magic Pots in possession at start of expedition,Poise +1,
Polished Tranquil Scene,Magic Pots in possession at start of expedition,Changes compatible armament's skill to Lightning Slash at start of expedition,
Old Portrait,{Revenant] Expend own HP to fully heal nearby allies when activating Art,{Revenant] Trigger ghostflame explosion during Ultimate Art activation,Defeating enemies fills more of the Art gauge
Small Makeup Brush,{Revenant] Power up while fighting alongside family,Increased rune acquisition for self and allies,
Grand Burning Scene,Changes compatible armament's skill to Rain of Arrows at start of expedition,Endurance +2,Holy Attack Power Up +2
Polished Luminous Scene,Improved Colossal Sword Attack Power,Max FP permanently increased after releasing Sorcerer's Rise mechanism,
Grand Burning Scene,FP Restoration upon Reaper Attacks,Improved Invisibility Sorcery,Poise +1
Polished Luminous Scene,Vigor +1,Mind +1,
Polished Tranquil Scene,Changes compatible armament’s skill to Flaming Strike at start of expedition,Magic Attack Power Up +2,
Golden Sprout,{Executor] Roaring restores HP while Art is active,HP Recovery From Successful Guarding,Slowly restore HP for self and nearby allies when HP is low
Grand Burning Scene,{Executor] Character Skill Boosts Attack but Attacking Drains HP,Partial HP Restoration upon Post-Damage Attacks,Poise +1
Polished Burning Scene,Poisonbone Darts in possession at start of expedition,Wraith Calling Bell in possession at start of expedition,
Polished Burning Scene,Improved Thorn Sorcery,Lightning Attack Power Up,
Polished Burning Scene,Improved Stance-Breaking when Wielding Two Armaments,Fire Grease in possession at start of expedition,
Grand Drizzly Scene,FP Restoration upon Great Hammer Attacks,Improved Dragon Cult Incantations,Physical Attack Up +2
Grand Luminous Scene,{Executor] Character Skill Boosts Attack but Attacking Drains HP,Improved Whip Attack Power,Improved Dragon Cult Incantations
Grand Burning Scene,Improved Bestial Incantations,Vigor +1,Magic Attack Power Up +1
Polished Tranquil Scene,Starting armament inflicts blood loss,Bewitching Branches in possession at start of expedition,
Polished Burning Scene,{Raider] Damage taken while using Character Skill improves attack power and stamina,Increased rune acquisition for self and allies,
Blessed Flowers,"{Executor] While Character Skill is active, unlocking use of cursed sword restores HP",Dexterity +3,
Polished Tranquil Scene,{Wylder] +1 additional Character Skill use,Starting armament deals magic damage,
Polished Tranquil Scene,Slowly restore HP for self and nearby allies when HP is low,Improved Roar & Breath Attacks,
Grand Tranquil Scene,{Ironeye] +1 additional Character Skill use,Improved Stonedigger Sorcery,Faith +1
Polished Tranquil Scene,Lightning Grease in possession at start of expedition,Attack power up when facing scarlet rot-afflicted enemy,
Grand Tranquil Scene,Improved Greataxe Attack Power,FP Restoration upon Twinblade Attacks,Improved Rot Resistance
Polished Drizzly Scene,"{Executor] While Character Skill is active, unlocking use of cursed sword restores HP",Poise +2,
Polished Tranquil Scene,Improved Crystalian sorcery,Improved Madness Resistance,
Grand Drizzly Scene,{Duchess] Become difficult to spot and silence footsteps after landing critical from behind,Critical Hit Boosts Stamina Recovery Speed,Magic Attack Power Up +1
Polished Luminous Scene,Attack power permanently increased for each evergaol prisoner defeated,Starlight Shards in possession at start of expedition,
Polished Luminous Scene,Improved Stance-Breaking when Wielding Two Armaments,Changes compatible armament's skill to Blood Blade at start of expedition,
Grand Drizzly Scene,{Ironeye] +1 additional Character Skill use,Starting armament inflicts poison,Magic Attack Power Up +1
Polished Luminous Scene,Slowly restore HP for self and nearby allies when HP is low,Attack power up when facing poison-afflicted enemy,
Polished Tranquil Scene,Art gauge charged from successful guarding,Attack power up after defeating a Night Invader,
Grand Burning Scene,{Revenant] Trigger ghostflame explosion during Ultimate Art activation,Lightning Grease in possession at start of expedition,Holy Attack Power Up +2
Grand Burning Scene,"HP restored when using cured meats, medicinal boluses, etc.",Mind +1,Improved Rot Resistance
Polished Luminous Scene,Improved Attack Power with 3+ Straight Swords Equipped,Character Skill Cooldown Reduction +2,
Grand Burning Scene,Defeating enemies restores HP for allies but not for self,Arcane +3,Holy Attack Power Up +1
Polished Tranquil Scene,FP Restoration upon Greataxe Attacks,Character Skill Cooldown Reduction +1,
Polished Burning Scene,Improved Fundamentalist Incantations,Fire Attack Power Up,
Grand Burning Scene,Improved Poise Near Totem Stela,Changes compatible armament's skill to Gravitas at start of expedition,Magic Attack Power Up +2
Grand Tranquil Scene,HP Restoration upon Halberd Attacks,Art gauge fills moderately upon critical hit,Changes compatible armament’s skill to Chilling Mist at start of expedition
Grand Burning Scene,{Recluse} Collecting affinity residue activates Terra Magica,HP Restoration upon Thrusting Sword Attacks,Dexterity +3
Polished Burning Scene,Improved Attack Power with 3+ Colossal Swords Equipped,Mind +1,
Polished Burning Scene,Improved Guard Counters,Changes compatible armament’s skill to Glintblade Phalanx at start of expedition,
Grand Burning Scene,Draw enemy attention while guarding,Improved Giants’ Flame Incantations,Physical Attack Up +1
Polished Burning Scene,{Ironeye] Art Charge Activation Adds Poison Effect,Improved Blood Loss Resistance,
Grand Burning Scene,{Guardian] Increased duration for Character Skill,Poisonbone Darts in possession at start of expedition,Changes compatible armament’s skill to Determination at start of expedition
Polished Drizzly Scene,Improved Stance-Breaking when Wielding Two Armaments,Stamina recovers with each successful attack,
Polished Drizzly Scene,HP Restoration upon Thrusting Counterattack,Holy Attack Power Up +2,
Grand Luminous Scene,Flask Also Heals Allies,Improved Dragon Cult Incantations,Changes compatible armament’s skill to Sacred Blade at start of expedition
Grand Tranquil Scene,Defeating enemies near Totem Stela restores HP,Poise +3,Holy Attack Power Up +1
Grand Drizzly Scene,"{Executor] While Character Skill is active, unlocking use of cursed sword restores HP",Gravity Stone Chunks in possession at start of expedition,Holy Damage Negation Up
Polished Tranquil Scene,{Ironeye] +1 additional Character Skill use,Starlight Shards in possession at start of expedition,
Polished Drizzly Scene,Improved Throwing Stone Damage,Poise +3,
Grand Luminous Scene,{Ironeye] Boosts thrusting counterattacks after executing Art,Rune discount for shop purchases while on expedition,Holy Attack Power Up
Polished Burning Scene,Improved Roar & Breath Attacks,Improved Death Blight Resistance,
Polished Burning Scene,HP Restoration upon Bow Attacks,Endurance +1,
Polished Burning Scene,Attack power up when facing scarlet rot-afflicted enemy,Mind +1,
Polished Burning Scene,Improved Stance-Breaking when Wielding Two Armaments,Poise +1,
Grand Luminous Scene,{Recluse} Suffer blood loss and increase attack power upon Art activation,Improved Stance-Breaking when Wielding Two Armaments,Improved Rot Resistance
Polished Tranquil Scene,Improved Stance-Breaking when Wielding Two Armaments,Endurance +1,
Grand Tranquil Scene,{Raider] Duration of Ultimate Art extended,Strength +1,Fire Attack Power Up +2
Polished Burning Scene,{Duchess] Become difficult to spot and silence footsteps after landing critical from behind,Faith +1,
Polished Tranquil Scene,Improved Throwing Pot Damage,Glintstone Scraps in possession at start of expedition,
